Date,BLH,WindSpeed,VentilationCoefficient,PM25,PM10,Toluene,Benzene,Ozone,AdjustedPM25,AdjustedPM10,AdjustedToluene,AdjustedBenzene,AdjustedOzone
17-Mar-2024 03:00:00,106.021120276399,2.33049134626313,247.081303325271,37.25,207.5,2.275,0.275,5.3,0.150760091915826,0.83980453885997,0.00920749554653703,0.00111299396716382,0.021450429185339
17-Mar-2024 04:00:00,169.543212559059,2.18713791317747,370.814388109825,40.5,183.5,2.125,0.375,5.4,0.109219062956114,0.494856742035728,0.00573062984646279,0.00101128761996402,0.0145625417274819
17-Mar-2024 05:00:00,323.823122707315,1.98886134456843,644.039291230018,42.25,192.75,1.95,0.4,5.775,0.0656015876287747,0.299282982614114,0.00302776558286653,0.000621080119562364,0.00896684422618164
17-Mar-2024 06:00:00,735.208282358474,2.13568642216934,1570.17434609943,54.25,241.25,1.525,0.3,5.85,0.0345503033690276,0.153645358300054,0.000971229726041789,0.000191061585450844,0.00372570091629145
17-Mar-2024 07:00:00,1058.34969112092,1.84718309121967,1954.96565403613,63,269.75,1.425,0.3,6.5,0.0322256300871235,0.137981963746057,0.000728913061494461,0.000153455381367255,0.00332486659629052
17-Mar-2024 08:00:00,1215.47887717632,1.64900869976479,2004.33524284409,65,281,1.375,0.3,21.475,0.0324297046774306,0.1401961079132,0.000686012983561032,0.00014967556004968,0.0107142755068896
17-Mar-2024 09:00:00,1351.48990062587,1.45671975526381,1968.74203728123,52.75,258.25,1.15,0.3,29.3,0.0267937591624986,0.131175133719721,0.000584129346670585,0.000152381568696674,0.0148825998760419
17-Mar-2024 10:00:00,1416.10142193184,1.94414147944467,2753.10151347827,50,253.5,1.2,0.325,62.475,0.0181613354085262,0.0920779705212279,0.000435872049804629,0.00011804868015542,0.0226925885929535
17-Mar-2024 11:00:00,1386.26782713946,2.06958663469348,2869.00136715339,43,201,1.1,0.3,91.95,0.0149877934853215,0.0700592207104562,0.000383408670554736,0.000104566001060382,0.0320494793250072
17-Mar-2024 12:00:00,160.24116474458,1.43120468262766,229.337905332154,37,237,1,0.3,107.475,0.161333992941168,1.033409630461,0.00436037818759915,0.00130811345627974,0.468631645712218
17-Mar-2024 13:00:00,50.627844552338,2.65780163064159,134.558767807073,27.25,317.5,0.975,0.3,116,0.20251374506543,2.35956381865226,0.00724590463995576,0.00222950911998639,0.86207685972807
17-Mar-2024 14:00:00,32.0237489233796,2.73284525101733,87.5159501650291,23.5,207,0.9,0.275,117.05,0.268522480252868,2.36528312392952,0.0102838396692588,0.00314228434338462,1.33747048142971
17-Mar-2024 15:00:00,26.9956149696068,2.74317353487573,74.0536565423205,22.5,130.5,0.975,0.2,129.775,0.303833747725092,1.76223573680553,0.0131661290680873,0.00270074442422304,1.75244553826772
17-Mar-2024 16:00:00,24.5653502252835,2.72158638497325,66.8567227152313,32.25,150.5,1.1,0.225,121.75,0.482374826199084,2.25108252226239,0.0164530948471005,0.00336540576417965,1.82105845239499
17-Mar-2024 17:00:00,27.8336372952358,2.90163537083114,80.7630664747411,30.75,140.5,1.175,0.225,98.525,0.380743343984062,1.73965657982962,0.014548729404269,0.00278592690720045,1.21992643791966
17-Mar-2024 18:00:00,31.5209355280022,2.70779899523077,85.3523575514582,32.5,139,1.175,0.2,74.8,0.380774485114908,1.62854318249145,0.0137664621541543,0.00234322760070712,0.876367122664464
17-Mar-2024 19:00:00,36.968080644589,2.45543933012775,90.7728791740583,33.5,169.25,1.075,0.2,24.025,0.369052962788184,1.86454370005672,0.0118427443282775,0.00220330127037721,0.264671565104063
