Date,BLH,WindSpeed,WindDirection,VentilationCoefficient,PM25,PM10,Toluene,Benzene,Ozone,NO,NO2,ExcelWindSpeed,ExcelWindDirection,AdjustedPM25,AdjustedPM10,AdjustedToluene,AdjustedBenzene,AdjustedOzone,AdjustedNO,AdjustedNO2,HourlyAvgWindSpeed,HourlyAvgWindDirection
05-Apr-2024 06:00:00,1921.1774775883,6.02860158074677,-39.8580052833589,11582.0135782839,62,186.5,1.325,0.225,13.575,26.55,57.575,2.225,16,0.00535312789792001,0.0161025540800336,0.000114401523624903,1.94266738230968e-05,0.00117207598732684,0.00229234751112542,0.00497106997939911,2.225,16
05-Apr-2024 07:00:00,2331.80841714639,5.84561390700495,-39.9995528878888,13630.8517117421,88.25,258.25,0.825,0.2,33.05,7.825,46.65,1.35,32,0.00647428362264245,0.0189459914509622,6.05244644609634e-05,1.46725974450821e-05,0.00242464672779981,0.000574065375038835,0.00342238335406539,1.35,32
05-Apr-2024 08:00:00,3334.08311859839,5.59088603230379,-34.1686128260812,18640.4787383116,79.75,239.75,1,0.2,47.625,3.25,42.25,2.475,89.25,0.00427832359455933,0.0128617941290984,5.36466908408693e-05,1.07293381681739e-05,0.0025549236512964,0.000174351745232825,0.00226657268802673,2.475,89.25
05-Apr-2024 09:00:00,2834.70561475621,4.98800821725098,-31.9177312590798,14139.5348998915,61,239.5,1.15,0.2,68.65,2.45,40.1,3.275,142.75,0.00431414473190827,0.0169383223490497,8.13322367490903e-05,1.41447368259288e-05,0.00485518091550005,0.000173273026117627,0.00283601973359872,3.275,142.75
05-Apr-2024 10:00:00,3306.76359078289,5.70678771770226,-22.1817263870519,18870.9978452248,55.5,245.5,0.775,0.15,77,1.925,33.9,3.1,186.25,0.0029410209494589,0.0130093809566155,4.10683105555072e-05,7.94870526880784e-06,0.00408033537132136,0.000102008384283034,0.00179640739075057,3.1,186.25
05-Apr-2024 11:00:00,2847.69496080346,4.22597782018115,-16.5665046753415,12034.295742997,37.5,171.25,0.775,0.15,82.55,2.15,29.075,4,192.75,0.00311609426931542,0.0142301638298737,6.4399281565852e-05,1.24643770772617e-05,0.006859562184853,0.000178656071440751,0.00241601175680922,4,192.75
05-Apr-2024 12:00:00,489.500136484121,2.12322187589561,-24.2491878715218,1039.31739803697,33,232,0.6,0.1,81.2666666666667,1.16666666666667,26.3666666666667,4.66666666666667,208,0.0317516093373683,0.223223435341498,0.00057730198795215,9.62169979920251e-05,0.0781923470348524,0.00112253164324029,0.0253692151372306,4.66666666666667,208
05-Apr-2024 13:00:00,110.630243067357,2.69608930156634,-19.0708181966874,298.269014763586,30,164,0.5,0.1,75.2,2.5,20.7,3.7,135,0.100580343633007,0.54983921186044,0.00167633906055012,0.000335267812110025,0.252121394706738,0.00838169530275061,0.0694004371067751,3.7,135
05-Apr-2024 16:00:00,76.9417455770813,2.46990707538271,-48.2137649119924,190.03896179313,27.5,120.5,0.75,0.15,67.75,2.1,20.35,3.4,25,0.144707168153947,0.634080500456388,0.0039465591314713,0.000789311826294259,0.356505841542907,0.0110503655681196,0.107083304433921,3.4,25
05-Apr-2024 17:00:00,87.5846291125663,2.65032448867396,-61.2119492374854,232.127687368461,28.75,129.75,1.175,0.2,60.125,2.475,24.5,2.725,12.75,0.123854247315033,0.558959603100019,0.00506186923809266,0.000861594763930665,0.259016925906656,0.010662235203642,0.105545358581506,2.725,12.75
